# source: file
# clip: 27122013_154548_cam.mp4
# measurement_mode: stepped
# frames_measured: 4895
# clip_duration_s: 163.167
# measured_fps: 30.00
# kss_before: skipped
# kss_after: skipped
timestampMs,faceDetected,fps,apertureMm,baselineMm,shutBaselineMm,blinkRatePerMin,lastBlinkDurationMs,lastBlinkAmplitudeMm,lastBlinkPeakVelocityMmPerS,perclos,longClosureCount,fixationCount,fixationMedianMs,fixating,onScreen
0,true,,4.621981611815958,,,,,,,,0,,,false,true
1000,true,30,6.020605402999646,,,,,,,,0,3,233.33333333333326,true,true
2000,true,30,6.006494533942117,,,,,,,,0,5,266.6666666666665,true,true
3000,true,30,5.255010693064829,,,,200,3.5825566904150876,73.87741354665746,,0,7,233.33333333333348,false,true
4000,true,30,5.742413114952725,,,,200,3.5825566904150876,73.87741354665746,,0,9,266.6666666666665,false,true
5000,true,30,5.4450432318408195,,,,200,3.5825566904150876,73.87741354665746,,0,11,266.66666666666697,true,true
6000,true,30,5.6122658117886495,,,,200,3.5825566904150876,73.87741354665746,,0,13,300,true,true
7000,true,30,5.434687956457532,,,,200,3.5825566904150876,73.87741354665746,,0,16,266.66666666666697,false,true
8000,true,30,3.1837795276713097,,,,200,3.5825566904150876,73.87741354665746,,0,18,266.66666666666697,false,true
9000,true,30,5.560402927335385,,,,266.66666666666606,3.993809896816412,60.730933907009494,,0,21,266.6666666666665,true,true
10000,true,30,5.6430010424937125,,,,266.66666666666606,3.993809896816412,60.730933907009494,,0,23,266.6666666666665,false,true
11000,true,30,5.455291495148893,,,,266.66666666666606,3.993809896816412,60.730933907009494,,0,23,266.66666666666697,true,true
12000,true,30,5.5651484794285455,,,,266.66666666666606,3.993809896816412,60.730933907009494,,0,22,266.6666666666665,false,true
13000,true,30,4.778172219103604,,,,266.66666666666606,3.993809896816412,60.730933907009494,,0,21,300,true,true
14000,true,30,5.187251262901217,,,,266.6666666666679,3.1615114669585234,57.0929177445187,,0,22,266.66666666666697,false,true
15000,true,30,5.123916245129453,,,12,266.6666666666679,3.1615114669585234,57.0929177445187,,0,22,266.66666666666606,true,true
16000,true,30,2.651856204403669,,,11.25,266.6666666666679,3.1615114669585234,57.0929177445187,,0,23,266.66666666666424,true,true
17000,true,30,6.345864334960382,,,14.117647058823529,233.33333333333394,3.942495419775368,81.28056194868405,,0,22,266.66666666666424,true,true
18000,true,30,7.124324976891607,,,13.333333333333334,233.33333333333394,3.942495419775368,81.28056194868405,,0,22,266.66666666666424,true,true
19000,true,30,6.660523580630263,,,12.631578947368421,233.33333333333394,3.942495419775368,81.28056194868405,,0,20,333.3333333333321,true,true
20000,true,30,6.531406757474844,,,12,233.33333333333394,3.942495419775368,81.28056194868405,,0,19,333.3333333333321,false,true
21000,true,30,6.245947583632155,,,14.285714285714286,166.66666666666788,5.181975823564634,134.9888514286931,,0,20,266.66666666666606,true,true
22000,true,30,6.365411552181485,,,13.636363636363637,166.66666666666788,5.181975823564634,134.9888514286931,,0,21,266.66666666666424,true,true
23000,true,30,6.238946714833693,,,13.043478260869565,166.66666666666788,5.181975823564634,134.9888514286931,,0,22,200.00000000000364,true,true
24000,true,30,6.673015342943938,,,12.5,166.66666666666788,5.181975823564634,134.9888514286931,,0,21,266.66666666666424,true,true
25000,true,30,6.371044064916456,,,12,166.66666666666788,5.181975823564634,134.9888514286931,,0,20,266.66666666666424,false,true
26000,true,30,5.526604591740753,,,13.846153846153847,266.66666666666424,4.822540595444133,105.93832570057982,,0,20,266.66666666666424,false,true
27000,true,30,5.576175058147065,,,13.333333333333334,266.66666666666424,4.822540595444133,105.93832570057982,,0,20,266.6666666666679,true,true
28000,true,30,5.650920836480461,,,12.857142857142858,266.66666666666424,4.822540595444133,105.93832570057982,,0,19,266.6666666666679,true,true
29000,true,30,6.5596866667386795,,,12.413793103448276,266.66666666666424,4.822540595444133,105.93832570057982,,0,21,266.6666666666679,true,true
30000,true,30,6.2245422105406405,6.784745986983113,6.784745986983113,12,266.66666666666424,4.822540595444133,105.93832570057982,,0,20,266.6666666666679,true,true
31000,true,30,4.276056026036178,6.784745986983113,6.784745986983113,11.612903225806452,266.66666666666424,4.822540595444133,105.93832570057982,,0,19,400,true,true
32000,true,30,4.538145381138705,6.784745986983113,6.784745986983113,11.25,266.66666666666424,4.822540595444133,105.93832570057982,,0,18,433.3333333333321,false,true
33000,true,30,4.857795957298919,6.784745986983113,6.784745986983113,10.909090909090908,266.66666666666424,4.822540595444133,105.93832570057982,,0,19,399.99999999999636,false,true
34000,true,30,4.7687448605757226,6.784745986983113,6.784745986983113,10.588235294117647,266.66666666666424,4.822540595444133,105.93832570057982,,0,19,399.99999999999636,true,true
35000,true,30,5.072099155371845,6.784745986983113,6.784745986983113,10.285714285714286,266.66666666666424,4.822540595444133,105.93832570057982,,0,19,399.99999999999636,true,true
36000,true,30,5.05231123794484,6.784745986983113,6.784745986983113,11.666666666666666,133.33333333333576,2.8347039648969785,48.31583225693008,,0,19,333.3333333333394,false,true
37000,true,30,5.997748183276064,6.784745986983113,6.784745986983113,11.35135135135135,133.33333333333576,2.8347039648969785,48.31583225693008,,0,21,333.3333333333394,true,true
38000,true,30,5.541280095280757,6.784745986983113,6.784745986983113,11.052631578947368,133.33333333333576,2.8347039648969785,48.31583225693008,,0,23,333.3333333333394,true,true
39000,true,30,6.05659296351625,6.784745986983113,6.784745986983113,10.76923076923077,133.33333333333576,2.8347039648969785,48.31583225693008,,0,22,299.99999999999636,true,true
40000,true,30,5.8393425770642935,6.784745986983113,6.784745986983113,10.5,133.33333333333576,2.8347039648969785,48.31583225693008,,0,21,299.99999999999636,true,true
41000,true,30,5.675163299025087,6.784745986983113,6.784745986983113,11.707317073170731,500,4.589957900330687,113.68911412071921,,0,22,200.00000000000728,false,true
42000,true,30,4.86710620526685,6.784745986983113,6.784745986983113,11.428571428571429,500,4.589957900330687,113.68911412071921,,0,23,266.66666666666424,true,true
43000,true,30,1.523274478771702,6.784745986983113,6.784745986983113,11.162790697674419,500,4.589957900330687,113.68911412071921,,0,22,233.33333333333576,false,true
44000,true,30,6.280395642469968,6.784745986983113,6.784745986983113,12.272727272727273,366.66666666666424,4.905314438553996,105.6821912776789,,0,25,233.33333333333576,true,true
45000,true,30,6.566870916830838,6.784745986983113,6.784745986983113,12,366.66666666666424,4.905314438553996,105.6821912776789,0.04878048780487805,0,24,233.33333333333576,true,true
46000,true,30,5.896519678161741,6.784745986983113,6.784745986983113,11.73913043478261,366.66666666666424,4.905314438553996,105.6821912776789,0.04573804573804574,0,23,233.33333333333576,true,true
47000,true,30,3.0234261947341303,6.784745986983113,6.784745986983113,11.48936170212766,366.66666666666424,4.905314438553996,105.6821912776789,0.043052837573385516,0,22,233.33333333333576,false,true
48000,true,30,6.27854445710317,6.784745986983113,6.784745986983113,12.5,233.33333333333576,4.046164945862605,73.73760437195195,0.04990757855822551,0,23,233.33333333333576,false,true
49000,true,30,6.895957351453442,6.784745986983113,6.784745986983113,12.244897959183673,233.33333333333576,4.046164945862605,73.73760437195195,0.047285464098073555,0,25,233.33333333333576,true,true
50000,true,30,7.30990873071201,6.784745986983113,6.784745986983113,12,233.33333333333576,4.046164945862605,73.73760437195195,0.04492512479201331,0,26,199.99999999999272,false,true
51000,true,30,5.910364928616847,6.784745986983113,6.784745986983113,11.764705882352942,233.33333333333576,4.046164945862605,73.73760437195195,0.042789223454833596,0,27,200.00000000000728,true,true
52000,true,30,5.194039785332038,6.784745986983113,6.784745986983113,11.538461538461538,233.33333333333576,4.046164945862605,73.73760437195195,0.04084720121028744,0,26,200.00000000000728,true,true
53000,true,30,5.76248430075656,6.784745986983113,6.784745986983113,12.452830188679245,200.00000000000728,3.961661889181655,96.06843582798953,0.04775687409551375,0,26,166.66666666666424,true,true
54000,true,30,5.2901739809486745,6.784745986983113,6.784745986983113,12.222222222222221,200.00000000000728,3.961661889181655,96.06843582798953,0.04576976421636616,0,26,200.00000000000728,true,true
55000,true,30,5.377284371989457,6.784745986983113,6.784745986983113,12,200.00000000000728,3.961661889181655,96.06843582798953,0.043941411451398134,0,29,200,true,true
56000,true,30,2.377623587191029,6.784745986983113,6.784745986983113,11.785714285714286,200.00000000000728,3.961661889181655,96.06843582798953,0.04353393085787452,0,26,200.00000000000728,false,true
57000,true,30,2.3521169858045186,6.784745986983113,6.784745986983113,12.631578947368421,100,4.416532798820091,78.85313727219304,0.04315659679408138,0,28,200,false,true
58000,true,30,5.69790633278786,6.784745986983113,6.784745986983113,14.482758620689655,66.66666666666424,4.621060147852642,109.71866064418488,0.04399524375743163,0,26,233.33333333333576,true,true
59000,true,30,5.751406035232298,6.784745986983113,6.784745986983113,14.23728813559322,66.66666666666424,4.621060147852642,109.71866064418488,0.04247990815154994,0,24,233.33333333333576,true,true
60000,true,30,6.918063150865218,6.910146188888136,6.784745986983113,14,66.66666666666424,4.621060147852642,109.71866064418488,0.041065482796892344,0,24,266.6666666666715,true,true
61000,true,30,5.899641265505238,6.918468500782787,6.784745986983113,14,66.66666666666424,4.621060147852642,109.71866064418488,0.0397422126745435,0,22,266.6666666666715,false,true
62000,true,30,5.426965401932208,6.918468500782787,6.784745986983113,15,200,4.549049221677828,78.95212947539966,0.04058272632674298,0,23,266.6666666666715,true,true
63000,true,30,5.49825097877496,6.918468500782787,6.784745986983113,14,200,4.549049221677828,78.95212947539966,0.039354187689202826,0,21,333.3333333333285,true,true
64000,true,30,5.80122301830424,6.918468500782787,6.784745986983113,14,200,4.549049221677828,78.95212947539966,0.03819784524975514,0,19,333.3333333333285,false,true
65000,true,30,6.45290264364281,6.918468500782787,6.784745986983113,15,166.66666666667152,4.493305792749572,74.03411008600331,0.04091341579448145,0,19,266.66666666666424,false,true
66000,true,30,6.484585878460859,6.918468500782787,6.784745986983113,15,166.66666666667152,4.493305792749572,74.03411008600331,0.039777983348751156,0,21,233.33333333333576,true,true
67000,true,30,1.6651224913270624,6.918468500782787,6.784745986983113,15,166.66666666667152,4.493305792749572,74.03411008600331,0.041404140414041404,0,19,233.33333333333576,false,true
68000,true,30,4.940145897662066,6.918468500782787,6.784745986983113,16,233.33333333334303,4.629412440631391,80.83622291880143,0.040315512708150744,0,21,233.33333333333576,false,true
69000,true,30,6.168753597599347,6.918468500782787,6.784745986983113,15,233.33333333334303,4.629412440631391,80.83622291880143,0.03928266438941076,0,20,233.33333333332848,true,true
70000,true,30,6.406091303262038,6.918468500782787,6.784745986983113,15,233.33333333334303,4.629412440631391,80.83622291880143,0.038301415487094086,0,20,233.33333333332848,false,true
71000,true,30,6.6203755116064915,6.918468500782787,6.784745986983113,15,233.33333333334303,4.629412440631391,80.83622291880143,0.03736799350121852,0,21,233.33333333332848,true,true
72000,true,30,6.0880847863506355,6.918468500782787,6.784745986983113,16,99.99999999998545,4.822291633025902,92.66491445133273,0.0380650277557494,0,21,233.33333333333576,false,true
73000,true,30,6.030238858928815,6.918468500782787,6.784745986983113,16,99.99999999998545,4.822291633025902,92.66491445133273,0.037180480247869865,0,23,233.33333333333576,true,true
74000,true,30,6.068262006868016,6.918468500782787,6.784745986983113,15,99.99999999998545,4.822291633025902,92.66491445133273,0.036336109008327025,0,22,233.33333333333576,true,true
75000,true,30,5.418115831239541,6.918468500782787,6.784745986983113,15,99.99999999998545,4.822291633025902,92.66491445133273,0.03552923760177646,0,24,233.33333333332848,false,true
76000,true,30,5.564333441484071,6.918468500782787,6.784745986983113,15,99.99999999998545,4.822291633025902,92.66491445133273,0.03475742215785663,0,24,233.33333333334303,false,true
77000,true,30,5.1960987586913845,6.918468500782787,6.784745986983113,14,99.99999999998545,4.822291633025902,92.66491445133273,0.03401842664776754,0,25,266.6666666666715,true,true
78000,true,30,6.509931762750291,6.918468500782787,6.784745986983113,14,99.99999999998545,4.822291633025902,92.66491445133273,0.033310201249132546,0,24,266.6666666666715,true,true
