clip,startFrame,endFrame,frameLength,durationMs,overlapsNF,startTimeSeconds,startTimeSecondsAt30fps,inFirstThirtySeconds,maxInterFrameGapInsideBlink,maxInterFrameGapWithEdges,secondsRowIndex,apertureMmAtThatSecond,baselineMmAtThatSecond,shutBaselineMmAtThatSecond,faceDetectedAtThatSecond,baselineReadySecond,beforeBaselineReady,framesToNearestAnnotatedBlink
26122013_223310_cam,2087,2088,2,33.3,0,74.2348,69.5667,0,0.032,0.032,69,7.129812201835147,8.09154262795629,7.716852989679425,true,30,0,0
26122013_223310_cam,8663,8669,7,200.0,0,294.399,288.7667,0,0.032,0.032,288,4.26401021435208,9.420725056632541,7.716852989679425,true,30,0,224
26122013_223310_cam,11730,11738,9,266.7,0,396.634,391.0,0,0.047,0.047,391,4.703153717340734,9.420725056632541,7.716852989679425,true,30,0,145
27122013_153916_cam,404,406,3,66.7,0,13.4152,13.4667,1,0.0322,0.0322,13,6.245248213296349,,,true,30,1,0
27122013_153916_cam,1167,1170,4,100.0,0,38.8538,38.9,0,0.0326,0.0326,38,5.892438343564406,6.4718727561209,6.4718727561209,true,30,0,65
27122013_153916_cam,1326,1328,3,66.7,0,44.15,44.2,0,0.033,0.033,44,6.43091481879911,6.4718727561209,6.4718727561209,true,30,0,0
27122013_153916_cam,2026,2031,6,166.7,0,67.5571,67.5333,0,0.0322,0.0322,67,6.852898691046859,6.4718727561209,6.4718727561209,true,30,0,0
27122013_153916_cam,2492,2494,3,66.7,0,83.1404,83.0667,0,0.0322,0.0322,83,5.85201716208337,6.4718727561209,6.4718727561209,true,30,0,0
27122013_153916_cam,2823,2824,2,33.3,0,94.1479,94.1,0,0.0321,0.048,94,6.061903067569604,6.4718727561209,6.4718727561209,true,30,0,0
27122013_153916_cam,3583,3586,4,100.0,0,119.523,119.4333,0,0.032,0.032,119,5.668225486916597,6.857247727386138,6.4718727561209,true,30,0,0
27122013_153916_cam,5016,5017,2,33.3,0,167.297,167.2,0,0.032,0.032,167,7.008131410450236,6.857247727386138,6.4718727561209,true,30,0,0
27122013_153916_cam,5552,5553,2,33.3,0,185.153,185.0667,0,0.032,0.048,185,5.508606424341689,6.982233619259869,6.4718727561209,true,30,0,1
27122013_153916_cam,5784,5786,3,66.7,0,192.897,192.8,0,0.047,0.047,192,7.210211625679928,7.203981759990378,6.4718727561209,true,30,0,0
27122013_153916_cam,6528,6529,2,33.3,0,217.68,217.6,0,0.032,0.032,217,6.002336069622633,7.340682645846147,6.4718727561209,true,30,0,1
27122013_153916_cam,6765,6766,2,33.3,0,225.6,225.5,0,0.031,0.033,225,4.754553583517293,7.340682645846147,6.4718727561209,true,30,0,1
27122013_153916_cam,8016,8018,3,66.7,0,267.31,267.2,0,0.032,0.032,267,6.983492998233579,7.340682645846147,6.4718727561209,true,30,0,0
27122013_153916_cam,8531,8533,3,66.7,0,284.493,284.3667,0,0.033,0.033,284,6.162872451409639,7.340682645846147,6.4718727561209,true,30,0,0
