clip,blink_id,startFrame,endFrame,frameLength,fullyClosedFrames,overlapsNF,startTimeSeconds,startTimeSecondsAt30fps,inFirstThirtySeconds,maxInterFrameGapInsideBlink,maxInterFrameGapWithEdges,secondsRowIndex,apertureMmAtThatSecond,baselineMmAtThatSecond,shutBaselineMmAtThatSecond,faceDetectedAtThatSecond,baselineReadySecond,beforeBaselineReady,beforeFirstExportedDetection,matched
26122013_223310_cam,12,3644,3650,7,4,0,127.032,121.4667,0,0.051,0.051,121,6.930522023530542,8.247441904182129,7.716852989679425,true,30,0,0,0
26122013_223310_cam,23,6488,6494,7,2,0,221.891,216.2667,0,0.033,0.033,216,7.714358077291951,8.247441904182129,7.716852989679425,true,30,0,0,0
26122013_223310_cam,27,8432,8439,8,2,0,286.704,281.0667,0,0.048,0.048,281,9.752561776999713,9.212519450647658,7.716852989679425,true,30,0,0,0
26122013_223310_cam,30,9704,9714,11,6,0,329.085,323.4667,0,0.048,0.048,323,4.480561182825243,9.420725056632541,7.716852989679425,true,30,0,0,0
26122013_223310_cam,34,11883,11890,8,1,0,401.737,396.1,0,0.033,0.033,396,8.604644027303358,9.420725056632541,7.716852989679425,true,30,0,0,0
26122013_223310_cam,37,13944,13949,6,0,0,471.381,464.8,0,0.033,0.033,464,8.684658456102573,9.420725056632541,7.716852989679425,true,30,0,0,0
26122013_223310_cam,38,14547,14554,8,1,0,491.461,484.9,0,0.033,0.033,484,7.719284122727016,9.420725056632541,7.716852989679425,true,30,0,0,0
27122013_153916_cam,26,3218,3224,7,2,0,107.331,107.2667,0,0.048,0.048,107,6.933219878627755,6.7470580125212045,6.4718727561209,true,30,0,0,0
27122013_153916_cam,28,3301,3305,5,0,0,110.099,110.0333,0,0.033,0.047,110,6.630955765928967,6.857247727386138,6.4718727561209,true,30,0,0,0
27122013_153916_cam,54,6438,6443,6,1,0,214.672,214.6,0,0.048,0.048,214,6.077002569562287,7.340682645846147,6.4718727561209,true,30,0,0,0
27122013_154548_cam,20,2612,2616,5,1,0,87.0708,87.0667,0,0.0321,0.0324,87,3.222247172197539,6.902471228717989,6.77298460775431,true,30,0,0,0
27122013_154548_cam,22,2784,2788,5,0,0,92.8302,92.8,0,0.0326,0.0326,92,6.193015773473404,6.927742183893276,6.77298460775431,true,30,0,0,0
27122013_154548_cam,33,3824,3845,22,17,0,127.485,127.4667,0,0.048,0.048,127,4.704051093520711,6.927742183893276,6.77298460775431,true,30,0,0,0
27122013_154548_cam,34,3912,3919,8,5,0,130.413,130.4,0,0.048,0.048,130,4.3773474332077535,6.927742183893276,6.77298460775431,true,30,0,0,0
27122013_154548_cam,42,4739,4744,6,0,0,157.98,157.9667,0,0.048,0.048,157,1.7894250925295552,6.927742183893276,6.77298460775431,true,30,0,0,0
26122013_224532_cam,24,2709,2736,28,23,0,91.3509,90.3,0,0.0484,0.0484,90,7.124946957709545,8.393968175898596,8.059335400894252,true,30,0,0,0
26122013_224532_cam,43,5681,5700,20,18,0,193.825,189.3667,0,0.979,0.979,189,8.265143379223524,8.725253323808609,8.059335400894252,true,30,0,0,0
26122013_224532_cam,49,6007,6031,25,16,0,205.617,200.2333,0,0.048,0.048,200,6.630883442171305,8.725253323808609,8.059335400894252,true,30,0,0,0
26122013_224532_cam,50,6032,6055,24,0,0,206.449,201.0667,0,0.049,0.049,201,,8.725253323808609,8.059335400894252,true,30,0,0,0
26122013_224532_cam,51,6059,6067,9,6,0,207.345,201.9667,0,0.048,0.048,201,,8.725253323808609,8.059335400894252,true,30,0,0,0
26122013_224532_cam,52,6069,6077,9,5,0,207.68,202.3,0,0.049,0.049,202,,8.725253323808609,8.059335400894252,true,30,0,0,0
26122013_224532_cam,53,6109,6114,6,4,0,209.008,203.6333,0,0.047,0.047,203,4.380289527612463,8.725253323808609,8.059335400894252,true,30,0,0,0
26122013_224532_cam,85,10913,10921,9,6,0,373.319,363.7667,0,0.033,0.047,363,7.60662321665783,8.725253323808609,8.059335400894252,true,30,0,0,0
26122013_230103_cam,6,772,777,6,0,0,26.6211,25.7333,1,0.0324,0.048,25,6.341148346673579,,,true,30,1,0,0
26122013_230103_cam,8,1041,1045,5,2,0,35.5645,34.7,0,0.0476,0.0476,34,8.38812114606936,8.10207611497379,8.10207611497379,true,30,0,0,0
26122013_230103_cam,10,1425,1429,5,0,0,48.3801,47.5,0,0.0475,0.0475,47,8.066052264708961,8.351665758537578,8.10207611497379,true,30,0,0,0
26122013_230103_cam,13,1947,1952,6,0,0,65.8033,64.9,0,0.0322,0.0324,64,7.979999981428692,10.99189098974842,8.10207611497379,true,30,0,0,0
26122013_230103_cam,16,2492,2498,7,1,0,83.946,83.0667,0,0.0323,0.0324,83,8.58765436705933,10.99189098974842,8.10207611497379,true,30,0,0,0
26122013_230103_cam,17,2713,2716,4,0,0,91.3374,90.4333,0,0.0325,0.0325,90,8.133615135596955,10.99189098974842,8.10207611497379,true,30,0,0,0
26122013_230103_cam,18,2890,2894,5,3,0,97.225,96.3333,0,0.0322,0.048,96,5.855658661728814,10.99189098974842,8.10207611497379,true,30,0,0,0
26122013_230103_cam,23,3714,3718,5,0,0,124.696,123.8,0,0.032,0.032,123,8.066836543999019,10.99189098974842,8.10207611497379,true,30,0,0,0
26122013_230103_cam,40,6221,6226,6,0,0,208.259,207.3667,0,0.032,0.032,207,8.557951365394757,10.99189098974842,8.10207611497379,true,30,0,0,0
26122013_230103_cam,41,6457,6462,6,1,0,216.115,215.2333,0,0.032,0.048,215,4.94408537965694,10.99189098974842,8.10207611497379,true,30,0,0,0
26122013_230103_cam,44,6784,6789,6,0,0,227.01,226.1333,0,0.032,0.048,226,8.891624735224145,10.99189098974842,8.10207611497379,true,30,0,0,0
26122013_230103_cam,45,6937,6943,7,3,0,232.13,231.2333,0,0.032,0.048,231,5.456260226353384,10.99189098974842,8.10207611497379,true,30,0,0,0
26122013_230103_cam,54,8120,8126,7,1,0,271.552,270.6667,0,0.032,0.032,270,6.673767904857957,10.99189098974842,8.10207611497379,true,30,0,0,0
26122013_230103_cam,57,8436,8441,6,5,0,282.063,281.2,0,0.048,0.048,281,8.331877173990065,10.99189098974842,8.10207611497379,true,30,0,0,0
26122013_230103_cam,65,9209,9214,6,4,0,311.838,306.9667,0,0.033,0.033,306,6.371008008060503,10.99189098974842,8.10207611497379,true,30,0,0,0
26122013_230654_cam,3,346,362,17,13,0,11.7016,11.5333,1,0.0481,0.0481,11,5.577951823354215,,,true,30,1,0,0
26122013_230654_cam,5,675,703,29,20,0,22.6448,22.5,1,0.0479,0.0479,22,7.450761608791007,,,true,30,1,0,0
