clip,startFrame,endFrame,frameLength,durationMs,overlapsNF,startTimeSeconds,startTimeSecondsAt30fps,inFirstThirtySeconds,maxInterFrameGapInsideBlink,maxInterFrameGapWithEdges,secondsRowIndex,apertureMmAtThatSecond,baselineMmAtThatSecond,shutBaselineMmAtThatSecond,faceDetectedAtThatSecond,baselineReadySecond,beforeBaselineReady,framesToNearestAnnotatedBlink,kind
26122013_223310_cam,768,770,3,66.7,0,25.7577,25.6,1,0.0321,0.0323,25,7.944126425621,,,true,30,1,0,double_fire_on_a_real_blink
26122013_223310_cam,2087,2088,2,33.3,0,74.2348,69.5667,0,0.032,0.032,69,7.3609594672555545,8.086716586667935,7.757821014516022,true,30,0,0,double_fire_on_a_real_blink
26122013_223310_cam,2851,2852,2,33.3,0,100.602,95.0333,0,0.032,0.032,95,6.954393797034033,8.086716586667935,7.757821014516022,true,30,0,0,double_fire_on_a_real_blink
26122013_223310_cam,7294,7300,7,200.0,0,248.754,243.1333,0,0.032,0.048,243,4.956031103681264,8.403191719403045,7.757821014516022,true,30,0,317,phantom_far_from_any_blink
26122013_223310_cam,8663,8669,7,200.0,0,294.399,288.7667,0,0.032,0.032,288,4.104212825051709,9.4682758788513,7.757821014516022,true,30,0,224,phantom_far_from_any_blink
26122013_223310_cam,10522,10524,3,66.7,0,356.348,350.7333,0,0.048,0.048,350,8.81402224745393,9.4682758788513,7.757821014516022,true,30,0,0,double_fire_on_a_real_blink
27122013_153916_cam,4081,4083,3,66.7,0,136.131,136.0333,0,0.048,0.048,136,5.577646602118634,6.847649079789038,6.459671960948139,true,30,0,0,double_fire_on_a_real_blink
27122013_153916_cam,5784,5786,3,66.7,0,192.897,192.8,0,0.047,0.047,192,7.185156447937968,7.139088510717209,6.459671960948139,true,30,0,0,double_fire_on_a_real_blink
27122013_153916_cam,5924,5925,2,33.3,0,197.568,197.4667,0,0.033,0.033,197,7.451902617014367,7.421079427470724,6.459671960948139,true,30,0,0,double_fire_on_a_real_blink
27122013_153916_cam,6765,6766,2,33.3,0,225.6,225.5,0,0.031,0.033,225,4.776200110200091,7.434458764103249,6.459671960948139,true,30,0,1,double_fire_on_a_real_blink
27122013_153916_cam,8016,8018,3,66.7,0,267.31,267.2,0,0.032,0.032,267,6.864204802110811,7.434458764103249,6.459671960948139,true,30,0,0,double_fire_on_a_real_blink
27122013_153916_cam,8136,8138,3,66.7,0,271.31,271.2,0,0.032,0.032,271,5.088563819157969,7.434458764103249,6.459671960948139,true,30,0,0,double_fire_on_a_real_blink
27122013_153916_cam,8531,8533,3,66.7,0,284.493,284.3667,0,0.033,0.033,284,6.137291660899984,7.434458764103249,6.459671960948139,true,30,0,0,double_fire_on_a_real_blink
27122013_153916_cam,9047,9048,2,33.3,0,301.709,301.5667,0,0.032,0.032,301,7.287662960357925,7.434458764103249,6.459671960948139,true,30,0,1,double_fire_on_a_real_blink
27122013_154548_cam,392,400,9,266.7,0,13.0889,13.0667,1,0.0486,0.0486,13,4.790106946560146,,,true,30,1,81,phantom_far_from_any_blink
27122013_154548_cam,1710,1713,4,100.0,0,57.0078,57.0,0,0.032,0.0322,57,2.3816443133064267,6.785719950884426,6.785719950884426,true,30,0,0,double_fire_on_a_real_blink
27122013_154548_cam,3104,3105,2,33.3,0,103.486,103.4667,0,0.032,0.032,103,5.795712124359068,6.919781770513945,6.785719950884426,true,30,0,0,double_fire_on_a_real_blink
27122013_154548_cam,3228,3230,3,66.7,0,107.614,107.6,0,0.032,0.032,107,5.9013820147310065,6.919781770513945,6.785719950884426,true,30,0,0,double_fire_on_a_real_blink
27122013_154548_cam,3689,3690,2,33.3,0,122.989,122.9667,0,0.032,0.048,122,5.078258374878136,6.919781770513945,6.785719950884426,true,30,0,0,double_fire_on_a_real_blink
27122013_154548_cam,3788,3790,3,66.7,0,126.285,126.2667,0,0.048,0.048,126,5.799855060122836,6.919781770513945,6.785719950884426,true,30,0,0,double_fire_on_a_real_blink
27122013_154548_cam,4530,4533,4,100.0,0,151.02,151.0,0,0.048,0.048,151,2.240185874805183,6.919781770513945,6.785719950884426,true,30,0,0,double_fire_on_a_real_blink
26122013_224532_cam,10572,10573,2,33.3,0,361.96,352.4,0,0.032,0.032,352,8.064478992408024,8.794939868740915,8.086838091524434,true,30,0,0,double_fire_on_a_real_blink
26122013_230103_cam,3797,3802,6,166.7,0,127.464,126.5667,0,0.032,0.033,126,6.636141286891719,11.006885655392484,8.100202774417724,true,30,0,20,near_a_real_blink
26122013_230654_cam,45,49,5,133.3,0,1.6377,1.5,1,0.0479,0.0479,1,,,,false,30,1,119,phantom_far_from_any_blink
27122013_151644_cam,1001,1003,3,66.7,0,33.7692,33.3667,0,0.032,0.0323,33,5.807613849972617,6.5169963523863625,6.5169963523863625,true,30,0,0,double_fire_on_a_real_blink
27122013_151644_cam,1160,1163,4,100.0,0,39.065,38.6667,0,0.0323,0.0323,38,6.529633309968002,6.5169963523863625,6.5169963523863625,true,30,0,0,double_fire_on_a_real_blink
27122013_151644_cam,3061,3063,3,66.7,0,102.696,102.0333,0,0.032,0.032,102,5.571837788928949,6.751921009805114,6.5169963523863625,true,30,0,0,double_fire_on_a_real_blink
