clip,blink_id,startFrame,endFrame,frameLength,fullyClosedFrames
26122013_223310_cam,12,3644,3650,7,4
26122013_223310_cam,19,4308,4314,7,3
26122013_223310_cam,23,6488,6494,7,2
26122013_223310_cam,27,8432,8439,8,2
26122013_223310_cam,30,9704,9714,11,6
26122013_223310_cam,32,10519,10525,7,0
26122013_223310_cam,34,11883,11890,8,1
26122013_223310_cam,35,12775,12782,8,4
26122013_223310_cam,37,13944,13949,6,0
26122013_223310_cam,38,14547,14554,8,1
27122013_153916_cam,26,3218,3224,7,2
27122013_153916_cam,28,3301,3305,5,0
27122013_153916_cam,54,6438,6443,6,1
27122013_153916_cam,59,7466,7472,7,2
27122013_153916_cam,65,8274,8279,6,3
27122013_154548_cam,20,2612,2616,5,1
27122013_154548_cam,22,2784,2788,5,0
27122013_154548_cam,33,3824,3845,22,17
27122013_154548_cam,34,3912,3919,8,5
27122013_154548_cam,42,4739,4744,6,0
26122013_224532_cam,24,2709,2736,28,23
26122013_224532_cam,43,5681,5700,20,18
26122013_224532_cam,49,6007,6031,25,16
26122013_224532_cam,50,6032,6055,24,0
26122013_224532_cam,51,6059,6067,9,6
26122013_224532_cam,52,6069,6077,9,5
26122013_224532_cam,53,6109,6114,6,4
26122013_224532_cam,85,10913,10921,9,6
26122013_230103_cam,6,772,777,6,0
26122013_230103_cam,8,1041,1045,5,2
26122013_230103_cam,10,1425,1429,5,0
26122013_230103_cam,13,1947,1952,6,0
26122013_230103_cam,14,2194,2200,7,1
26122013_230103_cam,16,2492,2498,7,1
26122013_230103_cam,17,2713,2716,4,0
26122013_230103_cam,23,3714,3718,5,0
26122013_230103_cam,24,3822,3827,6,0
26122013_230103_cam,29,4408,4415,8,4
26122013_230103_cam,36,5734,5740,7,1
26122013_230103_cam,37,5756,5763,8,0
26122013_230103_cam,40,6221,6226,6,0
26122013_230103_cam,42,6580,6586,7,0
26122013_230103_cam,44,6784,6789,6,0
26122013_230103_cam,47,7133,7138,6,2
26122013_230103_cam,49,7447,7451,5,2
26122013_230103_cam,50,7582,7586,5,0
26122013_230103_cam,52,8089,8095,7,2
26122013_230103_cam,53,8102,8106,5,0
26122013_230103_cam,54,8120,8126,7,1
26122013_230103_cam,65,9209,9214,6,4
26122013_230654_cam,3,346,362,17,13
26122013_230654_cam,5,675,703,29,20
26122013_230654_cam,7,936,942,7,0
26122013_230654_cam,18,3065,3073,9,1
26122013_230654_cam,19,3235,3239,5,0
26122013_230654_cam,23,3952,3959,8,1
26122013_230654_cam,26,4736,4744,9,2
26122013_230654_cam,30,5286,5293,8,2
27122013_151644_cam,14,3407,3413,7,3
27122013_151644_cam,21,5353,5358,6,2
27122013_151644_cam,24,7165,7171,7,2
27122013_151644_cam,30,10602,10608,7,3
27122013_152435_cam,22,2481,2500,20,18
27122013_152435_cam,23,2665,2688,24,20
27122013_152435_cam,24,2912,2918,7,2
27122013_152435_cam,25,2968,3000,33,24
27122013_152435_cam,26,3251,3257,7,2
