clip,blink_id,spanStart,spanEnd,min_ratio,reached_arm_depth,class
26122013_230103_cam,65,9209,9214,0.2627,yes,armed_then_dropped
27122013_154548_cam,34,3912,3919,0.2981,yes,armed_then_dropped
26122013_223310_cam,30,9704,9714,0.3585,yes,armed_then_dropped
27122013_151644_cam,14,3407,3413,0.3710,yes,armed_then_dropped
26122013_224532_cam,53,6109,6114,0.4520,yes,armed_then_dropped
27122013_151644_cam,30,10602,10608,0.9108,no,never_armed
26122013_223310_cam,35,12775,12782,0.9130,no,never_armed
27122013_152435_cam,24,2912,2918,0.9166,no,never_armed
26122013_230103_cam,8,1041,1045,0.9194,no,never_armed
26122013_223310_cam,19,4308,4314,0.9236,no,never_armed
26122013_230103_cam,49,7447,7451,0.9351,no,never_armed
26122013_230103_cam,47,7133,7138,0.9367,no,never_armed
26122013_230103_cam,14,2194,2200,0.9430,no,never_armed
26122013_230654_cam,26,4736,4744,0.9430,no,never_armed
27122013_151644_cam,24,7165,7171,0.9460,no,never_armed
26122013_223310_cam,32,10519,10525,0.9572,no,never_armed
27122013_152435_cam,26,3251,3257,0.9622,no,never_armed
27122013_153916_cam,65,8274,8279,0.9733,no,never_armed
27122013_153916_cam,26,3218,3224,0.9928,no,never_armed
26122013_223310_cam,23,6488,6494,0.9964,no,never_armed
