clip,blink_id,mechanism,min_ratio,measured_frames,fully_closed_frames
26122013_223310_cam,12,above_line,1.27056,7,4
26122013_223310_cam,19,crossed_line,,7,3
26122013_223310_cam,23,crossed_line,,7,2
26122013_223310_cam,27,above_line,1.19731,8,2
26122013_223310_cam,30,crossed_line,,11,6
26122013_223310_cam,32,crossed_line,,7,0
26122013_223310_cam,34,above_line,1.24675,8,1
26122013_223310_cam,35,crossed_line,,8,4
26122013_223310_cam,37,above_line,1.61152,6,0
26122013_223310_cam,38,above_line,1.25269,8,1
27122013_153916_cam,26,crossed_line,,7,2
27122013_153916_cam,28,above_line,1.21996,5,0
27122013_153916_cam,54,above_line,1.43086,6,1
27122013_153916_cam,59,above_line,1.01645,7,2
27122013_153916_cam,65,crossed_line,,6,3
27122013_154548_cam,20,above_line,1.15841,5,1
27122013_154548_cam,22,above_line,1.46696,5,0
27122013_154548_cam,33,crossed_line,,22,17
27122013_154548_cam,34,crossed_line,,8,5
27122013_154548_cam,42,above_line,1.15041,6,0
26122013_224532_cam,24,crossed_line,,28,23
26122013_224532_cam,43,crossed_line,,20,18
26122013_224532_cam,49,crossed_line,,10,16
26122013_224532_cam,50,no_trusted_face,,0,0
26122013_224532_cam,51,no_trusted_face,,0,6
26122013_224532_cam,52,no_trusted_face,,0,5
26122013_224532_cam,53,crossed_line,,4,4
26122013_224532_cam,85,no_trusted_face,,0,6
26122013_230103_cam,6,above_line,1.09537,6,0
26122013_230103_cam,8,crossed_line,,5,2
26122013_230103_cam,10,above_line,1.4126,5,0
26122013_230103_cam,13,above_line,1.43095,6,0
26122013_230103_cam,14,crossed_line,,7,1
26122013_230103_cam,16,above_line,1.22789,7,1
26122013_230103_cam,17,above_line,1.43117,4,0
26122013_230103_cam,23,above_line,1.51967,5,0
26122013_230103_cam,24,above_line,1.05246,6,0
26122013_230103_cam,29,above_line,1.15281,8,4
26122013_230103_cam,36,above_line,1.05667,7,1
26122013_230103_cam,37,above_line,1.19221,8,0
26122013_230103_cam,40,above_line,1.30719,6,0
26122013_230103_cam,42,above_line,1.1373,7,0
26122013_230103_cam,44,above_line,1.31559,6,0
26122013_230103_cam,47,crossed_line,,6,2
26122013_230103_cam,49,crossed_line,,5,2
26122013_230103_cam,50,above_line,1.03165,5,0
26122013_230103_cam,52,above_line,1.15825,7,2
26122013_230103_cam,53,above_line,1.18221,5,0
26122013_230103_cam,54,above_line,1.24288,7,1
26122013_230103_cam,65,crossed_line,,6,4
26122013_230654_cam,3,crossed_line,,17,13
26122013_230654_cam,5,crossed_line,,29,20
26122013_230654_cam,7,above_line,1.25082,7,0
26122013_230654_cam,18,above_line,1.27389,9,1
26122013_230654_cam,19,above_line,1.65781,5,0
26122013_230654_cam,23,above_line,1.33143,8,1
26122013_230654_cam,26,crossed_line,,9,2
26122013_230654_cam,30,above_line,1.16018,8,2
27122013_151644_cam,14,crossed_line,,7,3
27122013_151644_cam,21,above_line,1.01528,6,2
27122013_151644_cam,24,crossed_line,,7,2
27122013_151644_cam,30,crossed_line,,7,3
27122013_152435_cam,22,crossed_line,,20,18
27122013_152435_cam,23,crossed_line,,24,20
27122013_152435_cam,24,crossed_line,,7,2
27122013_152435_cam,25,crossed_line,,33,24
27122013_152435_cam,26,crossed_line,,7,2
