clip,blink_id,class,open_baseline_iris_median,in_span_iris_median,in_span_iris_min
26122013_223310_cam,12,above_line,0.8598,0.7810,0.7706
26122013_230103_cam,42,above_line,0.8645,0.8044,0.7959
26122013_230103_cam,50,above_line,0.8648,0.8079,0.7802
27122013_154548_cam,22,above_line,0.8385,0.8165,0.8147
26122013_230654_cam,7,above_line,0.8411,0.8223,0.8022
27122013_153916_cam,59,above_line,0.8389,0.8280,0.8162
27122013_153916_cam,28,above_line,0.8421,0.8327,0.8152
26122013_230103_cam,44,above_line,0.8938,0.8330,0.8230
26122013_230103_cam,24,above_line,0.8592,0.8372,0.8130
26122013_230103_cam,29,above_line,0.8794,0.8373,0.8202
26122013_230103_cam,17,above_line,0.8795,0.8388,0.8238
26122013_230103_cam,52,above_line,0.8953,0.8401,0.8282
26122013_230103_cam,16,above_line,0.8915,0.8403,0.8099
26122013_230654_cam,30,above_line,0.8738,0.8406,0.8154
26122013_230654_cam,23,above_line,0.8780,0.8416,0.8056
27122013_151644_cam,21,above_line,0.8689,0.8436,0.8406
26122013_230103_cam,10,above_line,0.8738,0.8448,0.8349
26122013_230103_cam,13,above_line,0.8700,0.8454,0.8400
26122013_230103_cam,23,above_line,0.8796,0.8455,0.8329
27122013_154548_cam,42,above_line,0.8490,0.8456,0.8229
26122013_223310_cam,38,above_line,0.8620,0.8481,0.8185
27122013_153916_cam,54,above_line,0.8482,0.8483,0.8448
26122013_230654_cam,18,above_line,0.8904,0.8512,0.8166
26122013_223310_cam,34,above_line,0.8762,0.8516,0.8334
26122013_230103_cam,6,above_line,0.8443,0.8516,0.8437
26122013_223310_cam,37,above_line,0.8909,0.8579,0.8423
26122013_223310_cam,27,above_line,0.9222,0.8633,0.8480
26122013_230654_cam,19,above_line,0.8894,0.8664,0.8553
27122013_154548_cam,20,above_line,0.8597,0.8688,0.8557
26122013_230103_cam,54,above_line,0.8902,0.8817,0.8309
26122013_230103_cam,40,above_line,0.8872,0.8884,0.8616
26122013_230103_cam,37,above_line,0.8834,0.8895,0.8700
26122013_230103_cam,53,above_line,0.8942,0.9294,0.9019
26122013_230103_cam,36,above_line,0.8810,0.9377,0.8793
26122013_223310_cam,19,never_armed,0.8447,0.8208,0.8052
26122013_223310_cam,35,never_armed,0.8431,0.8263,0.8026
26122013_230103_cam,8,never_armed,0.8882,0.8290,0.8103
26122013_230654_cam,26,never_armed,0.8767,0.8384,0.8300
27122013_153916_cam,65,never_armed,0.8316,0.8409,0.8257
26122013_223310_cam,23,never_armed,0.8509,0.8498,0.8311
27122013_152435_cam,26,never_armed,0.8803,0.8536,0.8338
27122013_153916_cam,26,never_armed,0.8785,0.8575,0.8359
27122013_152435_cam,24,never_armed,0.8814,0.8581,0.8416
26122013_230103_cam,14,never_armed,0.8559,0.8685,0.8475
27122013_151644_cam,24,never_armed,0.8754,0.8699,0.8419
26122013_223310_cam,32,never_armed,0.9037,0.8706,0.8332
27122013_151644_cam,30,never_armed,0.8893,0.8751,0.8475
26122013_230103_cam,49,never_armed,0.9265,0.8927,0.8553
26122013_230103_cam,47,never_armed,0.9575,0.9006,0.8668
